"","student_id","factor1","factor2","factor3","factor4","factor5","gpa"
"62","d1960ec6c2da81797664068777294439",8.0525,8.5,7.883333333,8.85,8.16,10
"63","88e401bf48e30e340416aded1806ddb4",6.805555556,7.6375,7.366666667,6.8,6.496666667,6.1
"64","196cd28ea4ab5e1512daf916cfe9d1e5",7.12,6.66,7.376666667,6,6.63,6
"65","7c146347c8d3c4f0232214af9edf103b",5.925833333,7.075,6.726666667,6.5,5.74,4.7
"66","bd2afb87bcedeb5eb3e0aea20bd4543d",7.163333333,8.52,8.443333333,8.1,7.88,7.16
"67","4e33c92439cc42e95d419439216aa7af",7.52,6.6125,6.95,6,7.545,6
"68","cdf790f3cf6c0364798bb2ff7a545599",6.99,8.16,7.126666667,7.55,7.08,6.05
"69","49bb5e5194528c71aa87fa53d946af82",6.812,7.491666667,7.983333333,7.55,6.2,8.66
"70","f968183e9aeb6bb9679283d5621d3272",6.825555556,3.62,6.516666667,6.5,6.43,4.03
"71","99537695ff20a58679839202ff67dc69",6.121666667,6.085714286,7.266666667,7.75,5.3425,7.13
"72","80d97ffd9b9fd623295db65a50a69f71",6.114,6.86,6.66,6.7,5.3275,7.5
"73","c82b381bd98524d7883e38fc82252641",6.63,7.81,7.3225,7,5,6.16
"74","867a79bb7487409322eba1c0f1ad7ac6",8.3275,7.383333333,7.433333333,7.83,7.965,9.45
"75","dba7e71308bc223d547b15c77f0faacf",6.062,6.507142857,6.394,6.85,5.516666667,9.7
"76","04a1015e515900d04b20bb48da4ff934",7.4225,7.7,7.91,8.45,6.865,7.5
"77","51b6f0a004db4a04c7e8a8b71547e7bc",8.12125,7.97,8.27,8.3,6.8,2.1
"78","d9b2cc4c8d271ce46258f75dbc0400f0",6.137,6.34,6.666666667,7.85,4.566666667,7.13
"79","c4123cd0190c132ca2a8eea8cfe383b4",5.924,6.525,6.47,8,6.533333333,6.8
"80","380b23c6d7d430513f06192884ec1cc6",6.723333333,7.99,7.0625,7.65,7.945,8.85
"81","076517ac01353c5cfb7d248dd1daed4e",5.899333333,6.475,6.082,7.1,5.755,7.1
"82","9d171b1b50aeead5084e71a58da96aff",7.30875,7.803333333,7.52,8,7.03,8
"83","026006268670870047ca410431460b58",5.706153846,6.65,7.266666667,6,4.895,4
"84","5e744db10534e452e07b1bb4fda94653",7.98875,7.943333333,7.65,7.16,7.58,7.53
"85","279f94a2d0401c403231717bf9a9e583",6.717,6.608333333,6.906,6.15,6.3,7
"86","42e4da34b77e56b4c06ed9a25c680710",5.113846154,6.192857143,6.333333333,5.25,5.7775,6.45
"87","76b46731834fd609115a5db5268d3536",6.125,7.9,7.3,6.55,5.686666667,8.6
"88","bde20395398b31847eb4e4ed8d53324b",6.738333333,7.108333333,7.32,6.3,6.295,8.26
"89","c7d3188ac0b76cdc0935bd500a2aa4df",5.679333333,6.542857143,6.3,6.075,4.642,7.4
"90","3b4dd4c046fe4db5cea03dab5f4e83b3",7.635,7.043333333,7.55,7.66,7.65,6.3
"91","b41d5264fcdb83279019bdd462b6557c",7.955,7.21,7.783333333,7.16,8.615,8.13
"92","ba90680f1f5189a1d7800abb01e73bf5",7.64375,6.476666667,6.633333333,6.5,8.965,9.1
"93","dfa4467244e5bf9ac924d4225fb87f3a",7.29625,7.0625,6.7,7.5,6.33,6.73
"94","140ce56f3fd5092d975d88df5afeebd5",7.345,6.493333333,7.16,6,6.7,6.9
"95","fbcbe2969742c508bedeb967d2eb081e",6.463333333,6.716666667,6.62,6,5.77,6.36
"96","eee8089c0fc21b60f8fcfc9468d9ff77",5.051875,6.575,5.788,6.083333333,4.288,6
"97","48a772b3a73d6ba139bf20ca89f03a14",6.782222222,7.09,7.383333333,8.55,6.373333333,6.86
"98","b2cbce9793799f17960ed75e662c1846",6.457777778,7.988333333,8.46,6.9,6.63,6
"99","9eb3ba8f468ec1cb743fa2539c138f01",6.584444444,6.5625,6.593333333,6.25,4.7975,7.26
"100","67b7015046b16767bef22a5efe9bbbd4",8.0175,7.376666667,8.166666667,7.5,8.2,8.76
"101","6fec5e4819ee852722fd7ee9b426f0a9",6.545384615,6.85,6.436666667,6.825,6.27,6.6
"102","d40375761c2460832b65bcb45377ee7c",6.939,8.6625,6.97,6.25,6.38,6.45
"103","debc299baabb86e1ec12424cac6868e4",7.86375,8.596,7.226666667,9,7.38,8.13
"104","9cfe2a301693cb03403c148934ee08a6",9.54625,8.276666667,8.253333333,8.16,9.26,9.66
"105","6e14e35824c33c89bcc7d1cd397cd2b1",6.050769231,6.2,6.395,6,5.845,6.15
"106","6a2f6ab238663d51ee0b1721f5d73b9e",6.593636364,7.12,6.486,7.9,6.703333333,6.13
"107","bc5dc1f54d74f87b287d2fc2ef672235",6.226428571,6.144444444,6.41,6.6,5.902,7.93
"108","d1d3a9d30cc3cf7585179f6b2e21a456",6.608888889,6.091666667,7.85,6,6.43,6.7
"109","2f89b46793ac0bd5fadcd5dbfbb9635e",6.481,7.79,6.686666667,8.7,6.73,5.73
"110","b57cd9052b4752cdcc57b70a25574ec2",7.833333333,7.98,7.443333333,9.15,7.845,9.5
"111","81df42ef229f6af05c0d53ffb1fa0b42",8.88625,8.283333333,8.16,8.33,9.095,9.55
"112","3888adc90d19d6424a598b66a8103a5d",7.216666667,8.0125,7.276666667,8,6.873333333,7.55
"113","c7b1fdc96d576d9d2b8370b9fae1714f",7.04,7.99,8.19,7.15,6.63,7.16
"114","0d120696ffdfe5fc183b346a8ef19584",8.00375,8.293333333,7.526666667,8,6.445,8.06
"115","90211d14875c36a28ee6a750fafed9d4",6.306,8.02,7.326666667,7.1,5.95,8.46
"116","3f6ea64ce60b8d21a09d072fbfdc0f79",7.38375,7.8625,7.67,8.25,8.28,7.63
"117","4a9b2c0017de7f03c17883da46e6e7af",5.495384615,5.81875,6.46,6.45,5.183333333,2.7
"118","8b3cd6fb61ef5d06f635327474908e57",9.0925,9.0625,8.816666667,9.15,9.2,10
"119","c56b63d130eba74fce58a0fd6e80527c",8.28875,9.1375,8.27,8,6.825,8.7
"120","392e3371b4393e21c33040c3f4dfc361",6.462,7.18,6.916666667,6.7,6.805,6.9
"121","0ecf43af5b9df6a320849a7e8b4c26d1",7.29875,7.9625,8.1825,8.85,6.795,8.2
"122","351d10ce1d3c3bb080f06060892af1ff",5.225333333,7.4,8.0025,6.625,5.633333333,6.1
"123","316bbf5fdaaea89bde6ca70a70dd7b65",7.24,5.63,7.12,6.35,6.983333333,8.1
"124","18fbde51b4715ce9c3bc8cee8e43d91b",7.9175,6.96,7.066666667,8.15,6.95,8.33
"125","c193fa5aaf9eb95776625b9f1633b873",7.635,8.65,8.553333333,6.9,6.42,8
"126","616a721cbd4ff3be28e7d13918d8a436",5.383846154,7.19375,7.4875,5.025,5.142,7.05
"127","d71f8c57260cab9313980bffd87f420f",6.8825,8.16,8.136666667,7.25,6.13,7.05
"128","829368f537f02f8138cecc8f06f97f1b",6.643333333,6.78125,7.55,8.1,5.16,8.1
"129","174e4eab976ceebb9df8f3a3d3418ba0",6.337,6.94,6.583333333,6.65,6.366666667,6.65
"130","25fb4bd4b97f1f25f40cab106da420e3",7.094444444,7.775,7.6875,7.7,6.626666667,6.7
"131","6776a1fb2852b772fc9e955d7a0205bb",6.929,6.491666667,6.7125,7.8,6.353333333,4.8
"132","bc9de83c290c9a12424a568790969de2",6.62125,7.24,7.21,6.4,5.806666667,7
"133","82a1bc779a7524d001af3f7eb3c9bd93",6.597,7.025,7.36,7.15,7.575,7.4
"134","f047ae3294e1e623be6f59d936bf983d",6.692222222,7.021428571,7.003333333,6.2,6.33,8.53
"135","686a67dc22a6e553eb792f28a22a6b6a",6.74,7.55,7.366666667,6.7,5.693333333,7.25
"136","c1c5b6dffa847025d35fcca51c49b7de",6.355,6.742857143,6.21,5.475,5.67,7.4
